n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
88,89,88,ER,gumbel,0,l2,34.64395566,34.64395566,34.65193924,34.66975693,4.00E-09,238.7123225,238.7123225,238.7123225,238.7123225,-1.42E-14,88.88218127,88.88218127,88.88218127,88.88218127,0
89,90,89,ER,gumbel,0,l2,35.56775318,35.56775318,35.65165942,35.8243095,4.10E-09,141.5931762,141.5931762,141.5931762,141.5931762,0,89.33848817,89.33848817,89.33848817,89.33848817,0
90,91,90,ER,gumbel,0,l2,37.32926906,37.32926906,37.33312204,37.3443214,8.78E-09,208.3825342,208.3825342,208.3825342,208.3825342,0,93.20584409,93.20584409,93.20584409,93.20584409,0
91,92,91,ER,gumbel,0,l2,36.9050556,36.9050556,37.12970408,37.58988918,6.70E-09,223.1903573,223.1903573,223.1903573,223.1903573,0,92.58992275,92.58992275,92.58992275,92.58992275,0
92,93,92,ER,gumbel,0,l2,37.28585753,37.28585753,37.31080088,37.36426493,7.06E-09,269.9268498,269.9268498,269.9268498,269.9268497,-1.42E-14,90.24593328,90.24593328,90.24593328,90.24593328,0
93,94,93,ER,gumbel,0,l2,38.61070865,38.61070865,39.23634358,40.63013641,1.12E-08,267.2435736,267.2435736,267.2435736,267.2435754,1.42E-14,89.98890689,89.98890689,89.98890689,89.98890689,0
94,95,94,ER,gumbel,0,l2,39.59710317,39.59710317,40.44120063,42.19661419,1.30E-08,207.2054265,207.2054265,207.2054265,207.2054323,4.26E-14,95.24207081,95.24207081,95.24207081,95.24207081,0
95,96,95,ER,gumbel,0,l2,39.60081682,39.60081682,39.97788205,40.75639575,8.68E-09,294.2784555,294.2784555,294.2784555,294.2784555,0,94.19597603,94.19597603,94.19597603,94.19597603,0
96,97,96,ER,gumbel,0,l2,39.93959894,39.93959894,40.0535466,40.35959058,4.77E-09,202.4988126,202.4988126,202.4988126,202.4988108,-2.84E-14,93.11095112,93.11095112,93.11095112,93.11095112,0
97,98,97,ER,gumbel,0,l2,39.42775197,39.42775197,40.51665687,42.75555401,1.48E-08,162.3041348,162.3041348,162.3041348,162.3041305,-2.84E-14,95.05662383,95.05662383,95.05662383,95.05662383,0
98,99,98,ER,gumbel,0,l2,37.72227023,37.72227023,37.73048014,37.74874301,4.05E-09,406.8504422,406.8504422,406.8504422,406.8504422,0,95.48634029,95.48634029,95.48634029,95.48634029,0
99,100,99,ER,gumbel,0,l2,39.41811039,39.41811039,39.42228511,39.43235386,9.14E-09,498.0311034,498.0311034,498.0311034,498.0311034,0,98.9337469,98.9337469,98.9337469,98.9337469,0
